Date,Close,High,Low,Open,Volume
1/3/2023,85.81999969,86.95999908,84.20999908,85.45999908,76706000
1/4/2023,85.13999939,86.98000336,83.36000061,86.55000305,68885100
1/5/2023,83.12000275,85.41999817,83.06999969,85.33000183,67930800
1/6/2023,86.08000183,86.40000153,81.43000031,83.02999878,83303400
1/9/2023,87.36000061,89.48000336,87.08000183,87.45999908,65266100
1/10/2023,89.87000275,90.19000244,87.29000092,87.56999969,67756600
1/11/2023,95.08999634,95.26000214,90.93000031,90.93000031,103126200
1/12/2023,95.26999664,97.19000244,93.5,96.93000031,85254800
1/13/2023,98.12000275,98.37000275,94.12000275,94.18000031,85549400
1/17/2023,96.05000305,98.88999939,95.73000336,98.68000031,72755000
1/18/2023,95.45999908,99.31999969,95.37999725,97.25,79570400
1/19/2023,93.68000031,95.44000244,92.86000061,94.73999786,69002700
1/20/2023,97.25,97.34999847,93.19999695,93.86000061,67481500
1/23/2023,97.51999664,97.77999878,95.86000061,97.55999756,76501100
1/24/2023,96.31999969,98.08999634,96,96.93000031,66929500
1/25/2023,97.18000031,97.23999786,91.51999664,92.55999756,94261600
1/26/2023,99.22000122,99.48999786,96.91999817,98.23999786,68523600
1/27/2023,102.2399979,103.4899979,99.52999878,99.52999878,87775600
1/30/2023,100.5500031,101.7399979,99.01000214,101.0899963,70691900
1/31/2023,103.1299973,103.3499985,101.1399994,101.1600037,66527300
2/1/2023,105.1500015,106.2399979,101.2399979,102.5299988,80450100
2/2/2023,112.9100037,114,108.8799973,110.25,158154200
2/3/2023,103.3899994,108.7799988,102.5199966,105.2600021,144374800
2/6/2023,102.1800003,103.9499969,100.6500015,102.9300003,81945200
2/7/2023,102.1100006,102.4100037,98.08000183,101.1699982,119501300
2/8/2023,100.0500031,102.6699982,98.77999878,102.0400009,75878300
2/9/2023,98.23999786,101.7799988,97.56999969,101.3199997,64622500
2/10/2023,97.61000061,98.81999969,96.23000336,97.55999756,52740100
2/13/2023,99.54000092,99.68000031,96.91000366,97.84999847,52841500
2/14/2023,99.69999695,100.9199982,97.51999664,98.41000366,56202900
2/15/2023,101.1600037,101.1699982,98.44999695,99.08999634,47957600
2/16/2023,98.15000153,100.6299973,98.09999847,99.20999908,56339200
2/17/2023,97.19999695,97.94000244,95.65000153,97.80000305,60029400
2/21/2023,94.58000183,95.61000061,94.26999664,95.33999634,56580400
2/22/2023,95.79000092,97.01000214,94.80000305,95.09999847,59534100
2/23/2023,95.81999969,96.43000031,93.66999817,96.12000275,48467000
2/24/2023,93.5,94.13999939,92.31999969,93.52999878,57053800
2/27/2023,93.76000214,94.77999878,93.13999939,94.27999878,47470300
2/28/2023,94.23000336,94.69000244,92.91999817,93.13999939,43959300
3/1/2023,92.16999817,94.68000031,91.58999634,93.87000275,52299500
